alias	normalized_alias	compact_alias	rxcui_count	rxcuis	ttys	original_terms
dextroamphetamine sulfate 1.25 mg	dextroamphetamine sulfate 1 25 mg	dextroamphetaminesulfate125mg	2	1927609|578551	SCDC	dextroamphetamine sulfate 1.25 mg|dextroamphetamine sulfate 12.5 mg
dextromethorphan hydrobromide 2.5 mg	dextromethorphan hydrobromide 2 5 mg	dextromethorphanhydrobromide25mg	2	1037198|1357904	SCDC	dextromethorphan hydrobromide 2.5 mg|dextromethorphan hydrobromide 25 mg
didanosine 1.67 mg/ml	didanosine 1 67 mg ml	didanosine167mgml	2	384480|486329	SCDC	didanosine 1.67 mg/ml|didanosine 16.7 mg/ml
didanosine 1.67 mg/ml oral solution	didanosine 1 67 mg ml oral solution	didanosine167mgmloralsolution	2	309869|486330	SCD	didanosine 1.67 mg/ml oral solution|didanosine 16.7 mg/ml oral solution
dideoxyinosine 1.67 mg/ml oral solution	dideoxyinosine 1 67 mg ml oral solution	dideoxyinosine167mgmloralsolution	2	309869|486330	SY	dideoxyinosine 1.67 mg/ml oral solution|dideoxyinosine 16.7 mg/ml oral solution
dimethicone 1.1 % topical lotion	dimethicone 11 topical lotion	dimethicone11topicallotion	2	1440188|2590920	PSN|SY|PSN	dimethicone 1.1 % topical lotion|dimethicone 11 % topical lotion
dimethicone 12.5 mg/ml	dimethicone 12 5 mg ml	dimethicone125mgml	2	2613880|353557	SCDC	dimethicone 12.5 mg/ml|dimethicone 125 mg/ml
dimethicone 12.5 mg/ml topical cream	dimethicone 12 5 mg ml topical cream	dimethicone125mgmltopicalcream	2	1537911|2613881	SCD	dimethicone 12.5 mg/ml topical cream|dimethicone 125 mg/ml topical cream
dimethicone 1.25 % topical cream	dimethicone 1 25 topical cream	dimethicone125topicalcream	2	1537911|2613881	SY|PSN	dimethicone 1.25 % topical cream|dimethicone 12.5 % topical cream
dimethicone 1.5 mg/ml	dimethicone 15 mg ml	dimethicone15mgml	2	1233683|343209	SCDC	dimethicone 1.5 mg/ml|dimethicone 15 mg/ml
dimethicone 1.5 mg/ml topical lotion	dimethicone 15 mg ml topical lotion	dimethicone15mgmltopicallotion	2	1233684|200090	SCD	dimethicone 1.5 mg/ml topical lotion|dimethicone 15 mg/ml topical lotion
diphenhydramine hydrochloride 1.25 mg/ml	diphenhydramine hydrochloride 1 25 mg ml	diphenhydraminehydrochloride125mgml	2	1049883|1293951	SCDC|TMSY	diphenhydramine hydrochloride 1.25 mg/ml|diphenhydramine hydrochloride 12.5 mg/ml
diphenhydramine hydrochloride 1.67 mg/ml	diphenhydramine hydrochloride 1 67 mg ml	diphenhydraminehydrochloride167mgml	2	1092372|2671698	SCDC|TMSY	diphenhydramine hydrochloride 1.67 mg/ml|diphenhydramine hydrochloride 16.7 mg/ml
diphenhydramine hydrochloride 1.67 mg/ml oral solution	diphenhydramine hydrochloride 1 67 mg ml oral solution	diphenhydraminehydrochloride167mgmloralsolution	2	1248354|2671699	SCD|TMSY	diphenhydramine hydrochloride 1.67 mg/ml oral solution|diphenhydramine hydrochloride 16.7 mg/ml oral solution
e.e.s. 400 mg oral tablet	ees 400 mg oral tablet	ees400mgoraltablet	2	686405|863606	SY|SY|PSN	e.e.s. 400 mg oral tablet|ees 400 mg oral tablet
e.e.s. 40 mg/ml oral suspension	ees 40 mg ml oral suspension	ees40mgmloralsuspension	2	686400|863603	SY	e.e.s. 40 mg/ml oral suspension|ees 40 mg/ml oral suspension
e.e.s. 80 mg/ml oral suspension	ees 80 mg ml oral suspension	ees80mgmloralsuspension	2	686418|863626	SY	e.e.s. 80 mg/ml oral suspension|ees 80 mg/ml oral suspension
ephedrine hydrochloride 4.7 mg/ml	ephedrine hydrochloride 4 7 mg ml	ephedrinehydrochloride47mgml	2	2560084|2560093	SCDC|TMSY	ephedrine hydrochloride 4.7 mg/ml|ephedrine hydrochloride 47 mg/ml
ephedrine hydrochloride 4.7 mg/ml injection	ephedrine hydrochloride 4 7 mg ml injection	ephedrinehydrochloride47mgmlinjection	2	2560091|2560097	SCD|TMSY	ephedrine hydrochloride 4.7 mg/ml injection|ephedrine hydrochloride 47 mg/ml injection
ephedrine hydrochloride 4.7 mg/ml injection [rezipres]	ephedrine hydrochloride 4 7 mg ml injection rezipres	ephedrinehydrochloride47mgmlinjectionrezipres	2	2560092|2560098	TMSY|SBD	ephedrine hydrochloride 4.7 mg/ml injection [rezipres]|ephedrine hydrochloride 47 mg/ml injection [rezipres]
ephedrine hydrochloride 4.7 mg/ml [rezipres]	ephedrine hydrochloride 4 7 mg ml rezipres	ephedrinehydrochloride47mgmlrezipres	2	2560087|2560095	SBDC|TMSY	ephedrine hydrochloride 4.7 mg/ml [rezipres]|ephedrine hydrochloride 47 mg/ml [rezipres]
ephedrine sulfate 2.5 mg/ml	ephedrine sulfate 25 mg ml	ephedrinesulfate25mgml	2	1116114|345996	SCDC|TMSY	ephedrine sulfate 2.5 mg/ml|ephedrine sulfate 25 mg/ml
ergocalciferol 500,000 unt/ml injectable solution	ergocalciferol 500000 unt ml injectable solution	ergocalciferol500000untmlinjectablesolution	2	310141|346739	PSN|SCD	ergocalciferol 500,000 unt/ml injectable solution|ergocalciferol 500000 unt/ml injectable solution
estrogens, conjugated (usp) 2.5 mg	estrogens conjugated usp 2 5 mg	estrogensconjugatedusp25mg	2	1729186|343615	SCDC	estrogens, conjugated (usp) 2.5 mg|estrogens, conjugated (usp) 25 mg
estrogens, conjugated (usp) 2.5 mg [premarin]	estrogens conjugated usp 2 5 mg premarin	estrogensconjugatedusp25mgpremarin	2	1729189|566151	SBDC	estrogens, conjugated (usp) 2.5 mg [premarin]|estrogens, conjugated (usp) 25 mg [premarin]
estrone 1.5 mg/ml	estrone 1 5 mg ml	estrone15mgml	2	315885|393155	SCDC	estrone 1.5 mg/ml|estrone 15 mg/ml
ferrous sulfate 1.25 mg/ml	ferrous sulfate 125 mg ml	ferroussulfate125mgml	2	1356784|328927	SCDC	ferrous sulfate 1.25 mg/ml|ferrous sulfate 125 mg/ml
ferrous sulfate 1.25 mg/ml oral solution	ferrous sulfate 125 mg ml oral solution	ferroussulfate125mgmloralsolution	2	1356785|310316	SCD	ferrous sulfate 1.25 mg/ml oral solution|ferrous sulfate 125 mg/ml oral solution
feso4 1.25 mg/ml oral solution	feso4 125 mg ml oral solution	feso4125mgmloralsolution	2	1356785|310316	SY	feso4 1.25 mg/ml oral solution|feso4 125 mg/ml oral solution
fluphenazine 2.5 mg/ml	fluphenazine 25 mg ml	fluphenazine25mgml	2	328237|328252	SCDC|TMSY	fluphenazine 2.5 mg/ml|fluphenazine 25 mg/ml
folic acid 1.5 mg	folic acid 1 5 mg	folicacid15mg	2	337024|439840	SCDC	folic acid 1.5 mg|folic acid 15 mg
folic acid 2.5 mg	folic acid 25 mg	folicacid25mg	2	334820|336153	SCDC	folic acid 2.5 mg|folic acid 25 mg
furosemide 12.5 mg	furosemide 125 mg	furosemide125mg	2	439805|630031	SCDC	furosemide 12.5 mg|furosemide 125 mg
furosemide 12.5 mg oral tablet	furosemide 125 mg oral tablet	furosemide125mgoraltablet	2	428541|630032	SCD|SCD|PSN	furosemide 12.5 mg oral tablet|furosemide 125 mg oral tablet
glycerin 7.5 mg/ml	glycerin 75 mg ml	glycerin75mgml	2	1114097|2705815	SCDC	glycerin 7.5 mg/ml|glycerin 75 mg/ml
glycine 1.5 % irrigation solution	glycine 1 5 irrigation solution	glycine15irrigationsolution	2	310571|310572	SY|PSN	glycine 1.5 % irrigation solution|glycine 15 % irrigation solution
halls 1.8 mg oral lozenge	halls 18 mg oral lozenge	halls18mgorallozenge	2	1422189|2109514	SY|PSN	halls 1.8 mg oral lozenge|halls 18 mg oral lozenge
hepatasol (8 % amino acids) injectable solution	hepatasol 8 amino acids injectable solution	hepatasol8aminoacidsinjectablesolution	2	800954|800957	SY	hepatasol (8 % amino acids) injectable solution|hepatasol 8 % amino acids injectable solution
hexi-dip	hexidip	hexidip	2	1425489|1485606	BN	hexi-dip|hexidip
hexi-dip topical product	hexidip topical product	hexidiptopicalproduct	2	1425492|1485609	SBDG	hexi-dip topical product|hexidip topical product
hydrocortisone 2.5 mg/ml	hydrocortisone 25 mg ml	hydrocortisone25mgml	2	330460|343175	SCDC	hydrocortisone 2.5 mg/ml|hydrocortisone 25 mg/ml
hydrocortisone 2.5 mg/ml topical cream	hydrocortisone 2 5 mg ml topical cream	hydrocortisone25mgmltopicalcream	2	199190|310891	SCD	hydrocortisone 2.5 mg/ml topical cream|hydrocortisone 25 mg/ml topical cream
hydrocortisone 2.5 mg/ml topical lotion	hydrocortisone 2 5 mg ml topical lotion	hydrocortisone25mgmltopicallotion	2	197781|197785	SCD	hydrocortisone 2.5 mg/ml topical lotion|hydrocortisone 25 mg/ml topical lotion
